N,BlockSize,Time_s,Volume,GFLOPS
512,8,0.00362272,134217728,74.09776521508701
512,16,0.003598349,134217728,74.59961665752822
512,24,0.004477517,134217728,59.95185635252753
512,32,0.003923558,134217728,68.41633435774366
1024,8,0.02635202,1073741824,81.49218344551954
1024,16,0.02507912,1073741824,85.62834932007183
1024,24,0.02922577,1073741824,73.47911271456663
1024,32,0.02719192,1073741824,78.9750649457633
1536,8,0.07485616,3623878656,96.82245672233253
1536,16,0.07390387,3623878656,98.07006469349982
1536,24,0.0839228,3623878656,86.36219611357104
1536,32,0.07916183,3623878656,91.55621228059027
2048,8,0.1766427,8589934592,97.25773657218781
2048,16,0.1748488,8589934592,98.25557386724988
2048,24,0.2031888,8589934592,84.55126062066412
2048,32,0.1870425,8589934592,91.85008318430305
