matrix_size,proccess_number,execution_time
100,1,0.0059285
100,1,0.0058839
100,1,0.0059806
100,1,0.0059801
100,1,0.0058527
200,1,0.0459942
200,1,0.045484
200,1,0.0453906
200,1,0.0453198
200,1,0.045619
300,1,0.151832
300,1,0.150929
300,1,0.15146
300,1,0.154261
300,1,0.153132
400,1,0.357401
400,1,0.36369
400,1,0.357471
400,1,0.357904
400,1,0.362794
500,1,0.699379
500,1,0.696996
500,1,0.700445
500,1,0.700305
500,1,0.703153
600,1,1.20064
600,1,1.19986
600,1,1.20011
600,1,1.20044
600,1,1.19991
700,1,1.90387
700,1,1.90411
700,1,1.9116
700,1,1.90861
700,1,1.90388
800,1,2.8419
800,1,2.84335
800,1,2.84047
800,1,2.83963
800,1,2.83989
900,1,4.04863
900,1,4.04362
900,1,4.04283
900,1,4.04131
900,1,4.04403
1000,1,5.54904
1000,1,5.55184
1000,1,5.55403
1000,1,5.54623
1000,1,5.54444
1100,1,7.37696
1100,1,7.37882
1100,1,7.41397
1100,1,7.3803
1100,1,7.38118
1200,1,9.78413
1200,1,9.7618
1200,1,9.78796
1200,1,9.64689
1200,1,9.67626
1300,1,12.2279
1300,1,12.2259
1300,1,12.2505
1300,1,12.2154
1300,1,12.247
1400,1,15.3138
1400,1,15.2766
1400,1,15.267
1400,1,15.2255
1400,1,15.2246
1500,1,18.7262
1500,1,18.723
1500,1,18.717
1500,1,18.7132
1500,1,18.7432
1600,1,22.8115
1600,1,22.9252
1600,1,22.8374
1600,1,22.8478
1600,1,22.8835
1700,1,27.3522
1700,1,27.3701
1700,1,27.4051
1700,1,27.29
1700,1,27.2493
1800,1,32.5605
1800,1,32.537
1800,1,32.3522
1800,1,32.3344
1800,1,32.365
1900,1,38.2129
1900,1,38.292
1900,1,39.1175
1900,1,38.3829
1900,1,38.2041
2000,1,44.8722
2000,1,45.1659
2000,1,45.9694
2000,1,45.4061
2000,1,45.5227
100,2,0.0030489
100,2,0.0030503
100,2,0.0030904
100,2,0.0030147
100,2,0.003105
200,2,0.0237358
200,2,0.0233749
200,2,0.0228608
200,2,0.0245422
200,2,0.0343712
300,2,0.0786529
300,2,0.0778573
300,2,0.0770341
300,2,0.0768663
300,2,0.0776503
400,2,0.182467
400,2,0.183267
400,2,0.182786
400,2,0.182718
400,2,0.186237
500,2,0.358543
500,2,0.356647
500,2,0.359765
500,2,0.359136
500,2,0.426748
600,2,0.647127
600,2,0.694187
600,2,0.618583
600,2,0.619515
600,2,0.620457
